,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
5218,CHEMBL5172037,inactive,COc1ccc(CCc2cc(=O)c3c(o2)[C@H]2O[C@H]2[C@@H](O)[C@H]3OC)cc1,344.36300000000006,1.9355,1.0,6.0,3.8079904073463298
5219,CHEMBL4872387,active,COc1ccc(OC)c(C2CC(c3cc(F)cc(F)c3)=NN2c2ccc(S(N)(=O)=O)cc2)c1,473.50100000000015,3.985100000000002,1.0,6.0,8.196542884351587
5222,CHEMBL222856,active,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,666.9920000000003,7.64580000000001,0.0,6.0,6.770011163455189
5223,CHEMBL3233827,active,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2,650.1750000000003,7.473100000000008,4.0,7.0,8.818156412055227
5224,CHEMBL3600551,active,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,649.3670000000002,11.736199999999984,2.0,4.0,8.71669877129645
5225,CHEMBL4634863,active,COc1ccc([C@H]2O[C@@H](O)[C@H]3[C@@H]2C(=O)O[C@@H]3c2cc(OC)c3c(c2)OCO3)cc1OC,430.4090000000003,2.3613,1.0,9.0,8.522878745280337
5226,CHEMBL2441674,active,COc1cc2c(cc1OC)C(=O)C(CCCCCc1cccc(OC)[n+]1C)C2,384.4960000000001,3.695000000000002,0.0,4.0,6.886056647693163
5227,CHEMBL309490,active,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,270.24,2.576800000000001,3.0,5.0,7.920818753952375
5228,CHEMBL4780248,inactive,C#CCN1CCC(CO)CC1,153.22499999999997,0.3239000000000001,1.0,2.0,4.0
5229,CHEMBL4473727,active,O=C(CNc1ccc2oc(=O)ccc2c1)N1CCOCC1,288.30300000000005,1.0637,1.0,5.0,7.431798275933005
5230,CHEMBL74560,active,CCCN1CCc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,390.5710000000001,5.334200000000006,0.0,3.0,7.657577319177793
5232,CHEMBL1198993,inactive,c1ccc2c(c1)[nH]c1c[n+](CCCCCCCCCCCC[n+]3ccc4c(c3)[nH]c3ccccc34)ccc12,504.72200000000015,8.131800000000005,2.0,0.0,4.0655015487564325
5233,CHEMBL3323043,active,CCN(CC)CCCOc1ccc2nc3n(c(=O)c2c1)CCc1ccccc1-3,377.48800000000017,3.7303000000000033,0.0,5.0,6.174002988352055
5234,CHEMBL3415575,active,O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccc(F)cc1F,386.442,4.301100000000004,1.0,3.0,6.419075024324381
5235,CHEMBL1651041,inactive,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3C[C@H]4OC[C@@]5(C)[C@@H](NC(=O)c6ccccc6)C=C[C@@](O)(CC3=CC[C@]2(C)[C@H]1[C@H](C)N(C)C)[C@@H]45,576.7780000000001,4.761600000000005,2.0,6.0,4.853871964321762
5236,CHEMBL3786655,inactive,CN1Cc2cc(O)ccc2N(C)C1c1cc[nH]c1,243.31,2.3007,2.0,3.0,3.935916564036404
5237,CHEMBL4098196,inactive,CCN1CCN(Cc2ccc(/C=C3\Oc4cc(OC)c(OC)cc4C3=O)cc2O)CC1,424.4970000000002,3.163100000000002,1.0,7.0,4.493494967595128
5239,CHEMBL5399453,inactive,Cc1cc(/C=N/O)c(O)c(CN2CCN(c3ccccc3Cl)CC2)c1,359.8570000000001,3.484320000000002,2.0,5.0,3.431329021990104
5240,CHEMBL4071377,active,COc1cc2c(cc1OC)C(=O)C(Cc1cc[n+](Cc3ccccc3)cc1C#N)C2,399.47000000000014,3.508980000000003,0.0,4.0,8.534617148551582
5241,CHEMBL188821,active,c1cc(C[n+]2ccc(N3CCCCC3)cc2)ccc1C[n+]1ccc(N2CCCCC2)cc1,428.62400000000025,4.338800000000004,0.0,2.0,7.1249387366083
5242,CHEMBL1651245,active,O=C(CCC1CCN(Cc2ccccc2)CC1)c1cc2c3c(c1)CCN3C(=O)CCC2,416.56500000000034,4.787100000000004,0.0,3.0,7.280006173632396
5244,CHEMBL1085932,active,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,576.6460000000003,5.599100000000008,4.0,9.0,9.2839966563652
5245,CHEMBL4744911,active,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCCc1cn(CCNc2c3c(nc4ccc(OC)cc24)CCCC3)nn1,681.823,5.0640000000000045,3.0,12.0,6.0
5248,CHEMBL236173,inactive,O=C(Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1)N1CCCC1,353.2050000000001,4.775300000000003,0.0,4.0,4.301029995663981
5249,CHEMBL396247,active,COc1cc2cc(-c3ccc(CN(CCO)Cc4ccccc4)cc3)c(=O)oc2cc1OC,445.51500000000016,4.471700000000004,1.0,6.0,7.30715308072277
5250,CHEMBL294674,inactive,C=C(C)C[N+](C)(C)c1ccccc1O,192.282,2.535200000000001,1.0,1.0,5.0
5251,CHEMBL356224,inactive,c1ccc(-c2cc(-c3ccccc3)c(NCCN3CCOCC3)nn2)cc1,360.4610000000001,3.554700000000002,1.0,5.0,3.585026652029182
5252,CHEMBL418955,active,COc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,350.4620000000001,4.681200000000004,0.0,4.0,8.08097423541264
5253,CHEMBL4763981,active,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,559.7140000000004,6.123300000000006,2.0,6.0,6.814599516809548
5254,CHEMBL4100639,inactive,COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1ccc(O)c(/C=N/O)c1)CC2,418.49300000000017,4.365200000000002,2.0,6.0,3.2037032599482083
5255,CHEMBL427232,active,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CCN3CCCC3)CC2)cc1,385.5020000000002,3.7676000000000025,0.0,3.0,7.67778070526608
5258,CHEMBL376478,active,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5cc([C@@H]6C[C@H]7C(C(=O)OC)[C@@H](Cc8c6[nH]c6ccccc86)N(C)C[C@H]7CC)ccc5c4CCN(C2)[C@@H]13,618.866,7.233000000000008,2.0,4.0,6.6439741428068775
5259,CHEMBL136145,inactive,C[N+](C)(C)CCS,120.241,0.6224000000000001,1.0,1.0,3.3569999954922864
5260,CHEMBL5267000,active,O=C1/C(=C/c2ccc(OCCN3CCCCC3)cc2)Oc2ccccc21,349.43,4.167500000000003,0.0,4.0,6.458420756053419
5261,CHEMBL5286328,inactive,CC1(C)O[C@@H]2[C@@H](O)[C@H]3NC(=O)O[C@H]3C[C@@H]2O1,229.232,-0.2519000000000004,2.0,5.0,4.231361898752385
5262,CHEMBL1242180,active,CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1,289.402,3.9007000000000014,0.0,1.0,6.301029995663981
5263,CHEMBL4872772,inactive,COC(=O)/C(=N\Nc1ccc(OC)cc1)C(=O)C(F)(F)F,304.224,1.7675,1.0,6.0,4.518557371497695
5267,CHEMBL4174963,inactive,CO[C@@H]1C=C[C@@]23c4cc5c(cc4CN(C)[C@@H]2C(=O)N(C)[C@H]3C1)OCO5,342.3950000000001,1.2825999999999995,0.0,5.0,3.6989700043360183
